,journal
bioRxiv : the preprint server for biology,516
medRxiv : the preprint server for health sciences,220
Journal of virology,155
Frontiers in immunology,147
Viruses,119
Nature communications,107
Vaccine,85
Vaccines,82
Virology,77
Nature,75
PloS one,72
Emerging microbes & infections,62
Scientific reports,62
"Science (New York, N.Y.)",61
Cell,60
Cell reports,54
The Journal of general virology,51
Proceedings of the National Academy of Sciences of the United States of America,50
The Journal of infectious diseases,50
Advances in experimental medicine and biology,45
Journal of medical virology,45
Archives of virology,39
Cell host & microbe,36
Research square,36
EBioMedicine,36
Virus research,34
PLoS pathogens,32
Microbiology spectrum,30
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,28
Biochemical and biophysical research communications,28
International journal of molecular sciences,27
mBio,26
"Journal of immunology (Baltimore, Md. : 1950)",26
Signal transduction and targeted therapy,25
The New England journal of medicine,25
Journal of virological methods,25
Veterinary microbiology,24
Cellular & molecular immunology,24
Nature medicine,24
Cell reports. Medicine,23
Immunity,23
Science translational medicine,22
JCI insight,22
Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,22
Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,21
Frontiers in microbiology,21
Human vaccines & immunotherapeutics,20
Journal of clinical microbiology,20
Cell research,20
Emerging infectious diseases,19
The Journal of biological chemistry,19
International immunopharmacology,18
Virology journal,17
iScience,17
Viral immunology,17
"Diagnostics (Basel, Switzerland)",17
Journal of immunological methods,16
Science advances,16
NPJ vaccines,16
European journal of immunology,15
Transfusion,15
Science immunology,15
Biosensors & bioelectronics,15
The Journal of clinical investigation,14
mAbs,14
The Lancet. Infectious diseases,14
International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,14
Virologica Sinica,13
Cell discovery,13
Antiviral research,13
eLife,13
Antibody therapeutics,12
Microorganisms,12
"Pathogens (Basel, Switzerland)",12
EClinicalMedicine,12
Journal of clinical medicine,11
Communications biology,11
Journal of molecular biology,11
Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,10
The Journal of veterinary medical science,10
ACS nano,10
Allergy,10
Nature structural & molecular biology,10
ArXiv,10
ACS central science,10
mSphere,10
The Journal of allergy and clinical immunology,10
Open forum infectious diseases,10
The Journal of infection,9
Frontiers in molecular biosciences,9
JAMA,9
Avian diseases,9
"Methods in molecular biology (Clifton, N.J.)",9
Virus genes,9
Journal of biomolecular structure & dynamics,9
Nature immunology,9
Cells,9
Analytical chemistry,8
Clinical & translational immunology,8
Frontiers in cellular and infection microbiology,8
"Lancet (London, England)",8
Heliyon,8
Journal of the American Chemical Society,8
Molecular therapy : the journal of the American Society of Gene Therapy,8
BMC infectious diseases,8
Medical hypotheses,8
The journal of physical chemistry letters,8
Transboundary and emerging diseases,8
Clinical chemistry and laboratory medicine,7
"Clinical immunology (Orlando, Fla.)",7
Infection,7
Journal of chemical information and modeling,7
Computational and structural biotechnology journal,7
ACS infectious diseases,7
Transplantation,6
Veterinary immunology and immunopathology,6
Reviews in medical virology,6
"Sensors (Basel, Switzerland)",6
International journal of biological macromolecules,6
Applied microbiology and biotechnology,6
JAMA network open,6
Briefings in bioinformatics,6
"Structure (London, England : 1993)",6
"Molecules (Basel, Switzerland)",6
Journal of biomedical science,6
Frontiers in medicine,6
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",6
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,6
"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",6
Frontiers in plant science,6
The journal of physical chemistry. B,6
Acta virologica,5
ACS sensors,5
Expert review of vaccines,5
Sheng wu gong cheng xue bao = Chinese journal of biotechnology,5
Nature microbiology,5
FEBS letters,5
Immunologic research,5
Clinical chemistry,5
BMC medicine,5
EMBO molecular medicine,5
Journal of hematology & oncology,5
The Journal of experimental medicine,5
Diagnostic microbiology and infectious disease,5
Mikrobiyoloji bulteni,5
Biomolecules,5
European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,5
ACS omega,5
ESMO open,5
PLoS medicine,5
Canadian journal of microbiology,5
Microbes and infection,5
PLoS computational biology,5
Clinical and vaccine immunology : CVI,5
Journal of internal medicine,5
Clinica chimica acta; international journal of clinical chemistry,5
"Antibodies (Basel, Switzerland)",4
Journal of immunology research,4
Kidney international,4
British journal of haematology,4
Protein science : a publication of the Protein Society,4
The journal of applied laboratory medicine,4
The American journal of tropical medicine and hygiene,4
STAR protocols,4
Computers in biology and medicine,4
Biosafety and health,4
The Lancet. Microbe,4
Clinical and translational medicine,4
"Chemical communications (Cambridge, England)",4
MedComm,4
"Med (New York, N.Y.)",4
Infectious diseases and therapy,4
Epidemiology and infection,4
Biotechnology journal,4
Journal of Korean medical science,4
