doi,title,journal,authors,date,source,pmid,pmc,genbank,pdb,accession,protein,nucleotide,geninfo,refseq
10.1002/jmv.25887,"Hyperglycemia, hydroxychloroquine, and the COVID-19 pandemic.",Journal of medical virology,"['Brufsky, A.']",2020-04-16,pubmed,32293710,7262330,False,True,False,True,True,False,False
10.7705/biomedica.5826,,Biomedica : revista del Instituto Nacional de Salud,"['Torres, A.G.']",2020-10-09,pubmed,33030819,7666850,False,True,False,True,True,False,False
10.1038/s41392-021-00653-w,Molecular mechanism of interaction between SARS-CoV-2 and host cells and interventional therapy.,Signal transduction and targeted therapy,"['Zhang, Q.', 'Xiang, R.', 'Huo, S.', 'Zhou, Y.', 'Jiang, S.', 'Wang, Q.', 'Yu, F.']",2021-06-13,pubmed,34117216,8193598,False,True,False,True,True,False,False
10.3389/fimmu.2021.759688,Detection of Antibody Responses Against SARS-CoV-2 in Plasma and Saliva From Vaccinated and Infected Individuals.,Frontiers in immunology,"['Klingler, J.', 'Lambert, G.S.', 'Itri, V.', 'Liu, S.', 'Bandres, J.C.', 'Enyindah-Asonye, G.', 'Liu, X.', 'Simon, V.', 'Gleason, C.R.', 'Kleiner, G.', 'Chiu, H.', 'Hung, C.', 'Kowdle, S.', 'Amanat, F.', 'Lee, B.', 'Zolla-Pazner, S.', 'Upadhyay, C.', 'Hioe, C.E.']",2022-01-07,pubmed,34987505,8721203,False,True,False,True,True,False,False
10.1016/j.vetmic.2017.05.013,A spike-specific whole-porcine antibody isolated from a porcine B cell that neutralizes both genogroup 1 and 2 PEDV strains.,Veterinary microbiology,"['Fu, F.', 'Li, L.', 'Shan, L.', 'Yang, B.', 'Shi, H.', 'Zhang, J.', 'Wang, H.', 'Feng, L.', 'Liu, P.']",2017-06-18,pubmed,28622871,7117570,True,True,True,True,True,False,False
10.1101/2022.02.27.482153,A strategy to optimize the peptide-based inhibitors against different mutants of the spike protein of SARS-CoV-2,bioRxiv : the preprint server for biology,"['Priya, P.', 'Basit, A.', 'Bandyopadhyay, P.']",2022-02-28,biorxiv,,,False,True,False,True,True,False,False
10.1016/j.ebiom.2022.103902,"The ChAdOx1 vectored vaccine, AZD2816, induces strong immunogenicity against SARS-CoV-2 beta (B.1.351) and other variants of concern in preclinical studies.",EBioMedicine,"['Spencer, A.J.', 'Morris, S.', 'Ulaszewska, M.', 'Powers, C.', 'Kailath, R.', 'Bissett, C.', 'Truby, A.', 'Thakur, N.', 'Newman, J.', 'Allen, E.R.', 'Rudiansyah, I.', 'Liu, C.', 'Dejnirattisai, W.', 'Mongkolsapaya, J.', 'Davies, H.', 'Donnellan, F.R.', 'Pulido, D.', 'Peacock, T.P.', 'Barclay, W.S.', 'Bright, H.', 'Ren, K.', 'Screaton, G.', 'McTamney, P.', 'Bailey, D.', 'Gilbert, S.C.', 'Lambe, T.']",2022-03-02,pubmed,35228013,8881183,False,True,False,True,True,False,False
10.3390/biomedicines10010171,Humoral Immune Response in IBD Patients Three and Six Months after Vaccination with the SARS-CoV-2 mRNA Vaccines mRNA-1273 and BNT162b2.,Biomedicines,"['Vollenberg, R.', 'Tepasse, P.', 'K, J.E.', 'Hennies, M.', 'Strauss, M.', 'Rennebaum, F.', 'Schomacher, T.', 'Boeckel, G.', 'Lorentzen, E.', 'Bokemeyer, A.', 'Nowacki, T.M.']",2022-01-22,pubmed,35052849,8774019,False,True,False,True,True,False,False
10.1101/2021.05.14.444111,CD147 antibody specifically and effectively inhibits infection and cytokine storm of SARS-CoV-2 variants,bioRxiv : the preprint server for biology,"['Chen, Z.-N.', 'Zhu, P.', 'Bian, H.', 'Geng, J.', 'Chen, L.', 'Yuan, Y.', 'Chen, R.', 'Wang, K.', 'Deng, Y.', 'Du, P.', 'Liu, J.', 'Wu, G.', 'Wang, Y.', 'Sun, X.', 'Guo, T.', 'Yang, X.', 'Wu, J.', 'Jiang, J.', 'Li, L.', 'Zhang, K.', 'Zhu, H.', 'Zheng, Z.', 'Fu, X.', 'Yang, F.', 'Chen, X.', 'Tang, H.', 'Zhang, Z.', 'Wei, D.', 'Zhang, Y.', 'Shi, Y.', 'Zhu, Y.', 'Pei, Z.', 'Huo, F.', 'Chen, S.', 'Wang, Q.', 'Xie, W.', 'Li, Y.']",2021-05-15,biorxiv,,,False,False,False,True,False,False,False
10.1016/j.jim.2021.113104,Evaluation of a multiplexed coronavirus antigen array for detection of SARS-CoV-2 specific IgG in COVID-19 convalescent plasma.,Journal of immunological methods,"['Huey, L.', 'Andersen, G.', 'Merkel, P.A.', 'Morrison, T.E.', 'McCarthy, M.', 'Bourian, M.G.D.', 'Annen, K.', 'Dawson, E.D.', 'Rowlen, K.L.', 'Knight, V.']",2021-07-26,pubmed,34303688,8297968,False,True,False,True,True,False,False
10.3390/v13081514,"Characterization of a Lineage C.36 SARS-CoV-2 Isolate with Reduced Susceptibility to Neutralization Circulating in Lombardy, Italy.",Viruses,"['Castelli, M.', 'Baj, A.', 'Criscuolo, E.', 'Ferrarese, R.', 'Diotti, R.A.', 'Sampaolo, M.', 'Novazzi, F.', 'Gasperina, D.D.', 'Focosi, D.', 'Ferrari, D.', 'Locatelli, M.', 'Clementi, M.', 'Clementi, N.', 'Maggi, F.', 'Mancini, N.']",2021-08-29,pubmed,34452380,8402759,False,True,True,True,True,False,False
10.1056/NEJMoa2103055,Efficacy of NVX-CoV2373 Covid-19 Vaccine against the B.1.351 Variant.,The New England journal of medicine,"['Shinde, V.', 'Bhikha, S.', 'Hoosain, Z.', 'Archary, M.', 'Bhorat, Q.', 'Fairlie, L.', 'Lalloo, U.', 'Masilela, M.S.L.', 'Moodley, D.', 'Hanley, S.', 'Fouche, L.', 'Louw, C.', 'Tameris, M.', 'Singh, N.', 'Goga, A.', 'Dheda, K.', 'Grobbelaar, C.', 'Kruger, G.', 'Carrim-Ganey, N.', 'Baillie, V.', 'Oliveira, T.', 'Koen, A.L.', 'Lombaard, J.J.', 'Mngqibisa, R.', 'Bhorat, A.E.', 'Benad, G.', 'Lalloo, N.', 'Pitsi, A.', 'Vollgraaff, P.', 'Luabeya, A.', 'Esmail, A.', 'Petrick, F.G.', 'Oommen-Jose, A.', 'Foulkes, S.', 'Ahmed, K.', 'Thombrayil, A.', 'Fries, L.', 'Cloney-Clark, S.', 'Zhu, M.', 'Bennett, C.', 'Albert, G.', 'Faust, E.', 'Plested, J.S.', 'Robertson, A.', 'Neal, S.', 'Cho, I.', 'Glenn, G.M.', 'Dubovsky, F.', 'Madhi, S.A.', 'None, N.']",2021-05-06,pubmed,33951374,8091623,False,True,False,True,True,False,False
10.1101/2020.08.31.275701,A COVID-19 vaccine candidate using SpyCatcher multimerization of the SARS-CoV-2 spike protein receptor-binding domain induces potent neutralising antibody responses,bioRxiv : the preprint server for biology,"['Tan, T.K.', 'Rijal, P.', 'Rahikainen, R.', 'Keeble, A.', 'Schimanski, L.', 'Hussain, S.', 'Harvey, R.', 'Hayes, J.', 'Edwards, J.', 'McLean, R.', 'Martini, V.', 'Pedrera, M.', 'Thakur, N.', 'Conceicao, C.', 'Dietrich, I.', 'Shelton, H.', 'Ludi, A.B.', 'Wilsden, G.', 'Browning, C.', 'Zagrajek, A.', 'Bialy, D.', 'Bhat, S.', 'Stevenson-Leggett, P.', 'Hollinghurst, P.', 'Tully, M.', 'Moffat, K.', 'Chiu, C.', 'Waters, R.', 'Gray, A.', 'Azhar, M.', 'Mioulet, V.', 'Newman, J.', 'Asfor, A.S.', 'Burman, A.', 'Crossley, S.', 'Hammond, J.', 'Tchilian, E.', 'Charleston, B.', 'Bailey, D.', 'Tuthill, T.J.', 'Graham, S.', 'Malinauskas, T.', 'Huo, J.', 'Tree, J.', 'Buttigieg, K.', 'Owens, R.', '']",2020-08-31,biorxiv,,,True,True,False,True,False,False,False
10.1038/s42003-021-02856-x,Spike protein multiorgan tropism suppressed by antibodies targeting SARS-CoV-2.,Communications biology,"['Brady, M.', 'McQuaid, C.', 'Solorzano, A.', 'Johnson, A.', 'Combs, A.', 'Venkatraman, C.', 'Rahman, A.', 'Leyva, H.', 'Kwok, W.E.', 'Wood, R.W.', 'Deane, R.']",2021-11-24,pubmed,34811493,8609008,False,True,False,True,True,False,False
10.1101/2021.03.30.437647,A recombinant receptor-binding domain in trimeric form generates completely protective immunity against SARS-CoV-2 infection in nonhuman primates,bioRxiv : the preprint server for biology,"['Yang, L.', 'Tian, D.', 'Han, J.-b.', 'Fan, W.', 'Zhang, Y.', 'Li, Y.', 'Sun, W.', 'Wei, Y.', 'Tian, X.', 'Yu, D.-d.', 'Feng, X.-l.', 'Cheng, G.', 'Zheng, Y.-t.', 'Bi, Y.', 'Liu, W.']",2021-04-01,biorxiv,,,False,False,True,True,False,False,False
10.1016/j.ebiom.2021.103539,B and T cell response to SARS-CoV-2 vaccination in health care professionals with and without previous COVID-19.,EBioMedicine,"['Zollner, A.', 'Watschinger, C.', 'R, A.', 'Farcet, M.R.', 'Penner, A.', 'B, V.', 'Kiechl, S.J.', 'Stampfel, G.', 'Hintenberger, R.', 'Tilg, H.', 'Koch, R.', 'Antlanger, M.', 'Kreil, T.R.', 'Kimpel, J.', 'Moschen, A.R.']",2021-08-15,pubmed,34391087,8358275,False,True,False,True,True,False,False
