pdb_id,title,journal,authors,doi,pmid,got_paper
7P77,Bispecific sybody constructs neutralize SARS-CoV-2 variants of concern and mitigate emergence of drug-resistance,bioRxiv,"['Walter, J.D.', 'Hutter, C.A.J.', 'Garaeva, A.A.', 'Scherer, M.', 'Zimmermann, I.', 'Wyss, M.', 'Rheinberger, J.', 'Ruedin, Y.', 'Earp, J.C.', 'Egloff, P.', 'Sorgenfrei, M.', 'Huerlimann, L.M.', 'Gonda, I.', 'Meier, G.', 'Remm, S.', 'Thavarasah, S.', 'Zimmer, G.', 'Slotboom, D.J.', 'Paulino, C.', 'Plattet, P.', 'Seeger, M.A.']",10.1101/2020.11.10.376822,,True
7P78,Bispecific sybody constructs neutralize SARS-CoV-2 variants of concern and mitigate emergence of drug-resistance,bioRxiv,"['Walter, J.D.', 'Hutter, C.A.J.', 'Garaeva, A.A.', 'Scherer, M.', 'Zimmermann, I.', 'Wyss, M.', 'Rheinberger, J.', 'Ruedin, Y.', 'Earp, J.C.', 'Egloff, P.', 'Sorgenfrei, M.', 'Huerlimann, L.M.', 'Gonda, I.', 'Meier, G.', 'Remm, S.', 'Thavarasah, S.', 'Zimmer, G.', 'Slotboom, D.J.', 'Paulino, C.', 'Plattet, P.', 'Seeger, M.A.']",10.1101/2020.11.10.376822,,True
7P79,Bispecific sybody constructs neutralize SARS-CoV-2 variants of concern and mitigate emergence of drug-resistance,bioRxiv,"['Walter, J.D.', 'Hutter, C.A.J.', 'Garaeva, A.A.', 'Scherer, M.', 'Zimmermann, I.', 'Wyss, M.', 'Rheinberger, J.', 'Ruedin, Y.', 'Earp, J.C.', 'Egloff, P.', 'Sorgenfrei, M.', 'Huerlimann, L.M.', 'Gonda, I.', 'Meier, G.', 'Remm, S.', 'Thavarasah, S.', 'Zimmer, G.', 'Slotboom, D.J.', 'Paulino, C.', 'Plattet, P.', 'Seeger, M.A.']",10.1101/2020.11.10.376822,,True
7P7A,Bispecific sybody constructs neutralize SARS-CoV-2 variants of concern and mitigate emergence of drug-resistance,bioRxiv,"['Walter, J.D.', 'Hutter, C.A.J.', 'Garaeva, A.A.', 'Scherer, M.', 'Zimmermann, I.', 'Wyss, M.', 'Rheinberger, J.', 'Ruedin, Y.', 'Earp, J.C.', 'Egloff, P.', 'Sorgenfrei, M.', 'Huerlimann, L.M.', 'Gonda, I.', 'Meier, G.', 'Remm, S.', 'Thavarasah, S.', 'Zimmer, G.', 'Slotboom, D.J.', 'Paulino, C.', 'Plattet, P.', 'Seeger, M.A.']",10.1101/2020.11.10.376822,,True
7RNJ,Broad betacoronavirus neutralization by a stem helix-specific human antibody.,Science,"['Pinto, D.', 'Sauer, M.M.', 'Czudnochowski, N.', 'Low, J.S.', 'Tortorici, M.A.', 'Housley, M.P.', 'Noack, J.', 'Walls, A.C.', 'Bowen, J.E.', 'Guarino, B.', 'Rosen, L.E.', 'di Iulio, J.', 'Jerak, J.', 'Kaiser, H.', 'Islam, S.', 'Jaconi, S.', 'Sprugasci, N.', 'Culap, K.', 'Abdelnabi, R.', 'Foo, C.', 'Coelmont, L.', 'Bartha, I.', 'Bianchi, S.', 'Silacci-Fregni, C.', 'Bassi, J.', 'Marzi, R.', 'Vetti, E.', 'Cassotta, A.', 'Ceschi, A.', 'Ferrari, P.', 'Cippa, P.E.', 'Giannini, O.', 'Ceruti, S.', 'Garzoni, C.', 'Riva, A.', 'Benigni, F.', 'Cameroni, E.', 'Piccoli, L.', 'Pizzuto, M.S.', 'Smithey, M.', 'Hong, D.', 'Telenti, A.', 'Lempp, F.A.', 'Neyts, J.', 'Havenar-Daughton, C.', 'Lanzavecchia, A.', 'Sallusto, F.', 'Snell, G.', 'Virgin, H.W.', 'Beltramello, M.', 'Corti, D.', 'Veesler, D.']",10.1126/science.abj3321,34344823.0,False
7SJS,A human antibody reveals a conserved site on beta-coronavirus spike proteins and confers protection against SARS-CoV-2 infection.,Sci Transl Med,"['Zhou, P.', 'Yuan, M.', 'Song, G.', 'Beutler, N.', 'Shaabani, N.', 'Huang, D.', 'He, W.T.', 'Zhu, X.', 'Callaghan, S.', 'Yong, P.', 'Anzanello, F.', 'Peng, L.', 'Ricketts, J.', 'Parren, M.', 'Garcia, E.', 'Rawlings, S.A.', 'Smith, D.M.', 'Nemazee, D.', 'Teijaro, J.R.', 'Rogers, T.F.', 'Wilson, I.A.', 'Burton, D.R.', 'Andrabi, R.']",10.1126/scitranslmed.abi9215,35133175.0,False
7JW0,Mapping Neutralizing and Immunodominant Sites on the SARS-CoV-2 Spike Receptor-Binding Domain by Structure-Guided High-Resolution Serology.,Cell,"['Piccoli, L.', 'Park, Y.J.', 'Tortorici, M.A.', 'Czudnochowski, N.', 'Walls, A.C.', 'Beltramello, M.', 'Silacci-Fregni, C.', 'Pinto, D.', 'Rosen, L.E.', 'Bowen, J.E.', 'Acton, O.J.', 'Jaconi, S.', 'Guarino, B.', 'Minola, A.', 'Zatta, F.', 'Sprugasci, N.', 'Bassi, J.', 'Peter, A.', 'De Marco, A.', 'Nix, J.C.', 'Mele, F.', 'Jovic, S.', 'Rodriguez, B.F.', 'Gupta, S.V.', 'Jin, F.', 'Piumatti, G.', 'Lo Presti, G.', 'Pellanda, A.F.', 'Biggiogero, M.', 'Tarkowski, M.', 'Pizzuto, M.S.', 'Cameroni, E.', 'Havenar-Daughton, C.', 'Smithey, M.', 'Hong, D.', 'Lepori, V.', 'Albanese, E.', 'Ceschi, A.', 'Bernasconi, E.', 'Elzi, L.', 'Ferrari, P.', 'Garzoni, C.', 'Riva, A.', 'Snell, G.', 'Sallusto, F.', 'Fink, K.', 'Virgin, H.W.', 'Lanzavecchia, A.', 'Corti, D.', 'Veesler, D.']",10.1016/j.cell.2020.09.037,32991844.0,True
7M7W,SARS-CoV-2 RBD antibodies that maximize breadth and resistance to escape.,Nature,"['Starr, T.N.', 'Czudnochowski, N.', 'Liu, Z.', 'Zatta, F.', 'Park, Y.J.', 'Addetia, A.', 'Pinto, D.', 'Beltramello, M.', 'Hernandez, P.', 'Greaney, A.J.', 'Marzi, R.', 'Glass, W.G.', 'Zhang, I.', 'Dingens, A.S.', 'Bowen, J.E.', 'Tortorici, M.A.', 'Walls, A.C.', 'Wojcechowskyj, J.A.', 'De Marco, A.', 'Rosen, L.E.', 'Zhou, J.', 'Montiel-Ruiz, M.', 'Kaiser, H.', 'Dillen, J.R.', 'Tucker, H.', 'Bassi, J.', 'Silacci-Fregni, C.', 'Housley, M.P.', 'di Iulio, J.', 'Lombardo, G.', 'Agostini, M.', 'Sprugasci, N.', 'Culap, K.', 'Jaconi, S.', 'Meury, M.', 'Dellota Jr., E.', 'Abdelnabi, R.', 'Foo, S.C.', 'Cameroni, E.', 'Stumpf, S.', 'Croll, T.I.', 'Nix, J.C.', 'Havenar-Daughton, C.', 'Piccoli, L.', 'Benigni, F.', 'Neyts, J.', 'Telenti, A.', 'Lempp, F.A.', 'Pizzuto, M.S.', 'Chodera, J.D.', 'Hebner, C.M.', 'Virgin, H.W.', 'Whelan, S.P.J.', 'Veesler, D.', 'Corti, D.', 'Bloom, J.D.', 'Snell, G.']",10.1038/s41586-021-03807-6,34261126.0,True
6WPT,Cross-neutralization of SARS-CoV-2 by a human monoclonal SARS-CoV antibody.,Nature,"['Pinto, D.', 'Park, Y.J.', 'Beltramello, M.', 'Walls, A.C.', 'Tortorici, M.A.', 'Bianchi, S.', 'Jaconi, S.', 'Culap, K.', 'Zatta, F.', 'De Marco, A.', 'Peter, A.', 'Guarino, B.', 'Spreafico, R.', 'Cameroni, E.', 'Case, J.B.', 'Chen, R.E.', 'Havenar-Daughton, C.', 'Snell, G.', 'Telenti, A.', 'Virgin, H.W.', 'Lanzavecchia, A.', 'Diamond, M.S.', 'Fink, K.', 'Veesler, D.', 'Corti, D.']",10.1038/s41586-020-2349-y,32422645.0,True
6XC2,Structural basis of a shared antibody response to SARS-CoV-2.,Science,"['Yuan, M.', 'Liu, H.', 'Wu, N.C.', 'Lee, C.D.', 'Zhu, X.', 'Zhao, F.', 'Huang, D.', 'Yu, W.', 'Hua, Y.', 'Tien, H.', 'Rogers, T.F.', 'Landais, E.', 'Sok, D.', 'Jardine, J.G.', 'Burton, D.R.', 'Wilson, I.A.']",10.1126/science.abd2321,32661058.0,True
