,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7N4J,N,,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH NEUTRALIZING HUMAN ANTIBODY WRAIR-2173.,VIRAL PROTEIN/IMMUNE SYSTEM,"NEUTRALIZING ANTIBODY, SARS-COV-2, WRAIR-2173, RECEPTOR BINDING DOMAIN, ANTIVIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",LOW-DOSE IN VIVO PROTECTION AND NEUTRALIZATION ACROSS SARS-COV-2 VARIANTS BY MONOCLONAL ANTIBODY COMBINATIONS.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,10/06/21,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH NEUTRALIZING HUMAN ANTIBODY WRAIR-2173.,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SANKHALA, R.S., JOYCE, M.G.",X-RAY DIFFRACTION,NONE
7KMI,N,,LY-COV481 NEUTRALIZING ANTIBODY AGAINST SARS-COV-2,IMMUNE SYSTEM/VIRAL PROTEIN,"ANTIBODY NEUTRALIZING SARS-COV-2, IMMUNE SYSTEM, IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX","THE NEUTRALIZING ANTIBODY, LY-COV555, PROTECTS AGAINST SARS-COV-2 INFECTION IN NONHUMAN PRIMATES.",,,A,B,C,PROTEIN,SPIKE PROTEIN S1,IMMUNE SYSTEM/VIRAL PROTEIN,11/02/20,LY-COV481 NEUTRALIZING ANTIBODY AGAINST SARS-COV-2,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"HENDLE, J., PUSTILNIK, A., SAUDER, J.M., COLEMAN, K.A., BOYLES, J.S., DICKINSON, C.D.",X-RAY DIFFRACTION,NONE
7COE,N,,CRYSTAL STRUCTURE OF RECEPTOR BINDING DOMAIN OF MERS-COV AND KNIH90-F1 FAB COMPLEX,IMMUNE SYSTEM,"RBD, FAB, COMPLEX, IMMUNE SYSTEM",THE STRUCTURE OF A NOVEL ANTIBODY AGAINST THE SPIKE PROTEIN INHIBITS MIDDLE EAST RESPIRATORY SYNDROME CORONAVIRUS INFECTIONS.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,IMMUNE SYSTEM,08/04/21,CRYSTAL STRUCTURE OF RECEPTOR BINDING DOMAIN OF MERS-COV AND KNIH90-F1 FAB COMPLEX,HOMO SAPIENS; MIDDLE EAST RESPIRATORY SYNDROME-RELATED CORONAVIRUS,HOMO SAPIENS,HOMO SAPIENS,MIDDLE EAST RESPIRATORY SYNDROME-RELATEDCORONAVIRUS ,"LEE, J.Y., SONG, J.Y., LEE, H.S., HONG, E., JANG, T.H.",X-RAY DIFFRACTION,NONE
7WCR,N,,RBD-1 OF SARS-COV-2 BETA SPIKE IN COMPLEX WITH S5D2 FAB,VIRAL PROTEIN,"SARS-COV-2, CORONAVIRUS, BETA VARIANT, B.1.351 LINEAGE, SPIKE PROTEIN, VIRAL PROTEIN",MAPPING CROSS-VARIANT NEUTRALIZING SITES ON THE SARS-COV-2 SPIKE PROTEIN.,,,A,B,A,PROTEIN,HEAVY CHAIN OF S5D2 FAB,VIRAL PROTEIN,02/02/22,RBD-1 OF SARS-COV-2 BETA SPIKE IN COMPLEX WITH S5D2 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, Y.F., CONG, Y.",ELECTRON MICROSCOPY,NONE
7JVA,N,"S2A4 FAB HEAVY CHAIN, S2A4 FAB LIGHT CHAIN, SARS-COV-2 SPIKE GLYCOPROTEIN",SARS-COV-2 SPIKE IN COMPLEX WITH THE S2A4 NEUTRALIZING ANTIBODY FAB FRAGMENT (LOCAL REFINEMENT OF THE RECEPTOR-BINDING DOMAIN AND FAB VARIABLE DOMAINS),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, COVID-19, SPIKE GLYCOPROTEIN, FUSION PROTEIN, NEUTRALIZING ANTIBODIES, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",MAPPING NEUTRALIZING AND IMMUNODOMINANT SITES ON THE SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN BY STRUCTURE-GUIDED HIGH-RESOLUTION SEROLOGY.,,,H,L,A,PROTEIN,SARS-COV-2 SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/20/20,SARS-COV-2 SPIKE IN COMPLEX WITH THE S2A4 NEUTRALIZING ANTIBODY FAB FRAGMENT (LOCAL REFINEMENT OF THE RECEPTOR-BINDING DOMAIN AND FAB VARIABLE DOMAINS),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PARK, Y.J., TORTORICI, M.A., WALLS, A.C., CZUDNOCHOWSKI, N., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID), SNELL, G., VEESLER, D.",ELECTRON MICROSCOPY,NONE
7R8O,N,,STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY C548,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, RECEPTOR BINDING DOMAIN, RBD, NEUTRALIZING ANTIBODY, COVID-19, SPIKE, ANTIVIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX","AFFINITY MATURATION OF SARS-COV-2 NEUTRALIZING ANTIBODIES CONFERS POTENCY, BREADTH, AND RESILIENCE TO VIRAL ESCAPE MUTATIONS.",,,M,N,E,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/04/21,STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY C548,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DELAITSCH, A.T., BARNES, C.O., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
7BEJ,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-158 FAB (CRYSTAL FORM 1),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,E,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,03/03/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-158 FAB (CRYSTAL FORM 1),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., ZHAO, Y., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
7ND8,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-384 FAB,"VIRAL PROTEIN, IMMUNE SYSTEM","SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN, IMMUNE SYSTEM",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,B,PROTEIN,SPIKE GLYCOPROTEIN,"VIRAL PROTEIN, IMMUNE SYSTEM",03/03/21,EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-384 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DUYVESTEYN, H.M.E., ZHAO, Y., REN, J., STUART, D.",ELECTRON MICROSCOPY,NONE
7DCC,N,"THE HEAVY CHAIN OF 3C1 FAB, SPIKE GLYCOPROTEIN, THE LIGHT CHAIN OF 3C1 FAB","S-3C1-F3B STRUCTURE, ALL THE THREE RBDS ARE IN THE UP CONFORMATION AND EACH OF THEM ASSOCIATES WITH A 3C1 FAB",VIRAL PROTEIN,VIRAL PROTEIN,DEVELOPMENT AND STRUCTURAL BASIS OF A TWO-MAB COCKTAIL FOR TREATING SARS-COV-2 INFECTIONS.,,,A,F,K,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,12/02/20,"S-3C1-F3B STRUCTURE, ALL THE THREE RBDS ARE IN THE UP CONFORMATION AND EACH OF THEM ASSOCIATES WITH A 3C1 FAB",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CONG, Y., LIU, C.X.",ELECTRON MICROSCOPY,NONE
7F0X,N,,A SARS-COV-2 NEUTRALIZING ANTIBODY,VIRAL PROTEIN/ANTIVIRAL PROTEIN,"NEUTRALIZING ANTIBODY, VIRAL PROTEIN-ANTIVIRAL PROTEIN COMPLEX","A SARS-COV-2 NEUTRALIZING
ANTIBODY",,,B,B,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/ANTIVIRAL PROTEIN,06/15/22,A SARS-COV-2 NEUTRALIZING ANTIBODY,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHANG, G., LI, X., GUO, Y., WANG, Y., YUAN, S.",X-RAY DIFFRACTION,NONE
