pdb_id,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,pdbx_model_type_details,pdbx_model_details
7KQ7,N,"Antibody heavy chain, Antibody light chain, Interleukin-21 receptor","Combining random mutagenesis, structure-guided design and next-generation sequencing to mitigate polyreactivity of an anti-IL-21R antibody.",PROTEIN BINDING/Immune System,"cytokine receptor, PROTEIN BINDING, PROTEIN BINDING-Immune System complex",,
7LKB,N,,Vaccination in a humanized mouse model elicits highly protective PfCSP-targeting anti-malarial antibodies.,IMMUNE SYSTEM/ANTIGEN,"Malaria, CSP, Junction region, antibody, m42.127, IMMUNE SYSTEM, IMMUNE SYSTEM-ANTIGEN complex",,
7LY0,N,"Spike glycoprotein, S2M28 Fab Light Chain variable region, S2M28 Fab Heavy Chain variable region",N-terminal domain antigenic mapping reveals a site of vulnerability for SARS-CoV-2.,VIRAL PROTEIN/IMMUNE SYSTEM,"Antibody, VIRAL PROTEIN, Structural Genomics, Seattle Structural Genomics Center for Infectious Disease, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
3QO1,,"Fab fragment of IMMUNOGLOBULIN G1 LIGHT CHAIN, Fab fragment of IMMUNOGLOBULIN G1 HEAVY CHAIN",Structure of a human IgA1 Fab fragment at 1.55 angstrom resolution: potential effect of the constant domains on antigen-affinity modulation,IMMUNE SYSTEM,"immunoglobulin fold, antibody, serum, IMMUNE SYSTEM",,
4OSU,,"SM5-1 Fab Heavy Chain, SM5-1 Fab Light Chain",Structural basis for the recognition of human cytomegalovirus glycoprotein B by a neutralizing human antibody.,IMMUNE SYSTEM,"Immunoglobulin, Immune response, HCMV neutralization, HCMV glycoprotein B, IMMUNE SYSTEM",,
6J71,N,"Receptor tyrosine-protein kinase erbB-2 (E.C.2.7.10.1), anti-HER2 humanized antibody HuA21",Structural insight into a matured humanized monoclonal antibody HuA21 against HER2-overexpressing cancer cells.,SIGNALING PROTEIN,"Tyrosine-protein kinase, antibody, Transcription regulation, SIGNALING PROTEIN",,
1A6V,,"B1-8, 4-HYDROXY-3-NITROPHENYLACETYL-EPSILON-AMINOCAPROIC ACID ANION",X-Ray Structures of Fv Fragment and its (4-Hydroxy-3-Nitrophenyl)Acetate Complex of Murine B1-8 Antibody,IMMUNE SYSTEM,"IMMUNOGLOBULIN, HAPTEN, IMMUNE SYSTEM",,
3CVI,,"25-D1.16 Heavy chain, 25-D1.16 light chain",How a T cell receptor-like antibody recognizes major histocompatibility complex-bound peptide,IMMUNE SYSTEM,"FAB, IMMUNE SYSTEM",,
4JHW,,"D25 antigen-binding fragment heavy chain, D25 light chain, Fusion glycoprotein F0",Structure of RSV fusion glycoprotein trimer bound to a prefusion-specific neutralizing antibody.,IMMUNE SYSTEM,"immunoglobulin; type I fusion protein, membrane fusion, IMMUNE SYSTEM",,
6BF7,N,"Insulin-degrading enzyme (E.C.3.4.24.56), FAB H11-E heavy chain, FAB H11-E light chain",Ensemble cryoEM elucidates the mechanism of insulin capture and degradation by human insulin degrading enzyme.,HYDROLASE/IMMUNE SYSTEM,"IDE, amyloid beta, BIOSYNTHETIC PROTEIN, HYDROLASE-IMMUNE SYSTEM complex",,
4ODH,,"CAP256-VRC26.UCA light chain, CAP256-VRC26.UCA heavy chain",Developmental pathway for potent V1V2-directed HIV-neutralizing antibodies.,IMMUNE SYSTEM,"Fab, HIV-1, V1V2, CAP256, VRC26, IMMUNE SYSTEM",,
4M6M,,"CNTO1959 light chain, CNTO1959 heavy chain",Antibody modeling assessment II. Structures and models.,IMMUNE SYSTEM,"immunoglobulin fold, antibody, IMMUNE SYSTEM",,
6U51,N,"Anti-Sudan ebolavirus Nucleoprotein Single Domain Antibody Sudan B (SB), Nucleoprotein",Paratope Duality and Gullying are Among the Atypical Recognition Mechanisms Used by a Trio of Nanobodies to Differentiate Ebolavirus Nucleoproteins.,IMMUNE SYSTEM,"Antibody, nanobody, Ebola, filovirus, IMMUNE SYSTEM",,
6UYF,N,"Fab AR3B heavy chain, Fab AR3B light chain, Polyprotein",Proof of concept for rational design of hepatitis C virus E2 core nanoparticle vaccines.,VIRAL PROEIN/IMMUNE SYSTEM,"HCV, E2 core, Vaccine design, self-assembly nanoparticle, broadly neutralizing antibodies, bNAbs, VIRAL PROTEIN-IMMUNE SYSTEM complex, VIRAL PROEIN-IMMUNE SYSTEM complex",,
5F8R,,"Adhesin binding fucosylated histo-blood group antigen, Nanobody Nb-ER19",Structural Insights into Polymorphic ABO Glycan Binding by Helicobacter pylori.,CELL ADHESION,"Adhesin, Lectin, Nanobody, Complex, Cell Adhesion",,
3O11,,"C706 LIGHT CHAIN, Ig kappa chain C region",His-tag binding by antibody C706 mimics Beta-amyloid recognition.,IMMUNE SYSTEM,"immunoglobulin fold, IMMUNE SYSTEM",,
7JHJ,N,,Structural basis for the constitutive activity and immunomodulatory properties of the Epstein-Barr virus-encoded G protein-coupled receptor BILF1.,MEMBRANE PROTEIN,"Membrane protein, viral GPCR, class A-like GPCR, Epstein-Barr virus",,
3EYF,,"8f9 Fab, AD-2, Synthetic peptide",Germline V-genes sculpt the binding site of a family of antibodies neutralizing human cytomegalovirus.,IMMUNE SYSTEM,"cytomegalovirus, antibody, Immunoglobulin domain, Cleavage on pair of basic residues, Envelope protein, Glycoprotein, Host-virus interaction, Membrane, Transmembrane, Virion, IMMUNE SYSTEM",,
4JDV,,"Fab heavy chain, Fab light chain",Structural basis for HIV-1 gp120 recognition by a germ-line version of a broadly neutralizing antibody.,IMMUNE SYSTEM,"IG FOLD, ANTI HIV ANTIBODY, IMMUNE SYSTEM",,
1F8T,,ANTIBODY FAB FRAGMENT (LIGHT AND HEAVY CHAIN),Spatial structure of a Fab-fragment of a monoclonal antibody to human interleukin-2 in two crystalline forms at a resolution of 2.2 and 2.9 angstroms,IMMUNE SYSTEM,"monoclonal antibody, antigen-binding fragment, interleukin-2, x-ray analysis, crystal, IMMUNE SYSTEM",,
1YZZ,,anti-VSG immunoglobulin heavy chain variable domain cAbAn33,Antigen binding and solubility effects upon the veneering of a camel VHH in framework-2 to mimic a VH.,UNKNOWN FUNCTION,"antibody, camel antibody, humanization, UNKNOWN FUNCTION",,
2W9D,,"ICSM 18-ANTI-PRP THERAPEUTIC FAB HEAVY CHAIN, ICSM 18-ANTI-PRP THERAPEUTIC FAB LIGHT CHAIN",Crystal Structure of Human Prion Protein Bound to a Therapeutic Antibody.,IMMUNE SYSTEM,"IMMUNE SYSTEM, PRION, PRP, FAB",,
7V26,N,,An ultrapotent pan-beta-coronavirus lineage B ( beta-CoV-B) neutralizing antibody locks the receptor-binding domain in closed conformation by targeting its conserved epitope.,VIRAL PROTEIN,"SARS-CoC-2, spike, Antibodies, VIRAL PROTEIN",,
7BUD,N,"SIgN-3C Fab heavy chain, SIgN-3C Fab light chain, Dengue virus serotype 2 E protein, Dengue virus serotype 2 M protein",A Human Antibody Neutralizes Different Flaviviruses by Using Different Mechanisms.,VIRUS,"antibody, neutralization, VIRUS",,
5O2U,N,"Capsid protein p24, VHH 59H10","Unravelling the Molecular Basis of High Affinity Nanobodies against HIV p24: In Vitro Functional, Structural, and in Silico Insights.",VIRUS,"VHH Llama antibody HIV capsid protein complex, Virus",,
